ZIPCODE,TREND2007,POPULATION,RATIO
93626,5744.700195,1359,4.22715246136865
93630,11799,19162,0.615749921720071
93631,13726.80078,15941,0.861100356313907
93635,7741.200195,38776,0.199638956957912
93636,28776.19922,11908,2.41654343466577
93637,16514.20117,37743,0.437543416527568
93638,19998,49068,0.407556859867938
93640,0,11880,0
93641,0,595,0
93643,23034,3171,7.2639545884579
93644,9879.599609,8637,1.14386935382656
93645,0,318,0
93646,0,10557,0
93647,0,11874,0
93648,0,15719,0
93650,22383.59961,4055,5.51999990382244
93651,8229.599609,1674,4.91612879868578
93652,0,415,0
93653,0,1229,0
93654,15908,29776,0.534255776464266
93656,4322.400391,6313,0.684682463329637
93657,34587.10156,34999,0.988231136889625
93660,0,4675,0
93662,6890.400391,30237,0.227879762906373
93664,0,585,0
93666,0,692,0
93667,6864,2604,2.63594470046083
93668,0,1118,0
93675,0,3721,0
93701,0,12529,0
93702,3535.200195,48607,0.0727302691999095
93703,0,31868,0
93704,24834.10156,27156,0.914497774340845
93705,4557.600098,36703,0.124175138217584
93706,10022.40039,41087,0.243931179935259
93710,33236.80078,30202,1.10048343752069
93711,43340.69922,36731,1.17994879584003
93712,0,-100,-100
93720,65259.20313,45191,1.44407521696798
93722,45486.10156,76448,0.594994003244035
93723,0,9547,0
93725,5662.800293,24979,0.226702441771088
93726,0,40705,0
93727,49502.39844,71820,0.689256452798663
93728,0,15743,0
93730,4376.399902,9941,0.440237390805754
93737,0,-100,-100
93901,0,26863,0
93905,0,61087,0
93906,0,59461,0
93907,7470.599609,21726,0.343855270597441
93908,11803.7998,13043,0.904991167676148
93920,0,1369,0
93921,1115.399902,3281,0.33995730021335
93923,21021.40039,12073,1.74119111985422
93924,19355.40039,6279,3.08256097945533
93925,0,1671,0
93926,0,8726,0
93927,4214.700195,17547,0.240194916224996
93930,0,15866,0
93932,0,592,0
93933,10808.7002,22406,0.482402044095332
93940,25719.5,31615,0.813522062312194
93950,1370.399902,15046,0.0910806793832248
93953,0,4509,0
93955,0,33359,0
93960,0,27080,0
93962,0,673,0
94002,19112.09961,25992,0.735307002539243
94005,0,4282,0
94010,20030.59961,40737,0.491705319733903
94014,0,47014,0
94015,0,60927,0
94018,3240.600098,-100,-100
94019,12380,18424,0.671949630916196
94020,5367.600098,1559,3.44297632969852
94021,0,192,0
94022,166796.2969,18500,9.01601604864865
94024,140299.0938,22385,6.2675494214876
94025,105862.3984,40526,2.61220940630706
94027,47372.89844,7089,6.6825925292707
94028,69718.60156,6534,10.6701257361494
94030,9238.400391,21536,0.428974758125929
94035,6928,-100,-100
94037,4216.799805,2913,1.4475797476828
94038,0,3040,0
94040,232147.7031,32996,7.03563168565887
94041,122229.2031,13292,9.19569689286789
94043,62193.5,28358,2.19315537061852
94044,6607,37296,0.177150364650365
94060,2284,1554,1.46975546975547
94061,19233.09961,36245,0.530641457028556
94062,114875.5938,25876,4.43946490183954
94063,4088.700195,30949,0.132110898413519
94065,6165.400391,11359,0.542776687296417
94066,7420.800293,41130,0.180423055993192
94070,54262.19922,29166,1.86046078378934
94080,8136.399902,63975,0.127180928518953
94085,11724,21247,0.551795547606721
94086,24258.59961,45697,0.530857596997615
94087,119009.2969,54293,2.19198233473929
94089,0,19245,0
94101,3483,-100,-100
94102,0,31176,0
94103,3096,27170,0.113949208686051
94104,0,406,0
94107,6919.700195,26599,0.260148885108463
94108,3870,13768,0.28108657757118
94109,3036,55984,0.0542297799371249
94110,9514.799805,69333,0.13723334927091
94112,3096,79407,0.0389890060070271
94114,18996.30078,31124,0.610342526024933
94115,7250.099609,33021,0.219560267980982
94116,1887.600098,43698,0.0431964872076525
94117,14645,39169,0.373892619163114
94118,20515.80078,38319,0.535394994128239
94119,0,-100,-100
94121,0,41203,0
94122,0,56023,0
94123,10985,23088,0.475788288288288
94124,5085.200195,33996,0.149582309536416
94127,17666.19922,19289,0.915869107781637
94131,3724.200195,26881,0.138543960232134
94132,2516.800049,28129,0.0894734988446088
94133,0,26237,0
94134,3572,40798,0.0875533114368351
94139,0,-100,-100
94303,3718,45467,0.0817735940352343
94304,0,3627,0
94305,44318.69922,13862,3.19713599913432
94401,1258.400024,34429,0.0365505830549827
94402,27319.90039,23981,1.13923107418373
94403,22797.09961,39642,0.575074406185359
94404,12309,33749,0.36472191768645
94422,0,-100,-100
94503,0,19681,0
94505,0,13403,0
94506,32876.89844,22452,1.46431936753964
94507,66065.30469,14889,4.43718884344147
94508,5943.300293,3661,1.62340898470363
94509,20894.20117,62439,0.334633821329618
94510,17291.19922,27088,0.638334288984052
94511,0,2137,0
94512,0,108,0
94513,51617.90234,54605,0.945296261148246
94514,3376,1360,2.48235294117647
94515,0,7050,0
94517,16469.40039,12385,1.32978606297941
94518,31239.30078,26778,1.16660321084472
94519,3470.400146,18453,0.188066988890695
94520,7308.799805,37208,0.196430869839819
94521,22325,41249,0.541225241824044
94522,0,-100,-100
94523,55089.70313,33569,1.64108859751556
94525,0,3127,0
94526,32511.09961,31102,1.04530575557842
94528,0,964,0
94530,12214.7998,23877,0.511571797126942
94531,13277.2998,40290,0.329543306031273
94533,22580.20117,69277,0.325940805317782
94534,11673,36416,0.320545913884007
94536,18376.19922,68790,0.267134746620148
94538,5477,61148,0.0895695689147642
94539,37727.19922,50031,0.754076456996662
94540,0,-100,-100
94541,5908.799805,61635,0.0958676045266488
94542,7155,12717,0.562632696390658
94543,0,-100,-100
94544,4486.700195,73026,0.0614397638512311
94545,0,29707,0
94546,51123.69922,42209,1.21120375322798
94547,4423.200195,24092,0.183596222605014
94548,0,412,0
94549,117028.7031,26864,4.35633945428827
94550,84581.60156,46896,1.80359948737632
94551,28809.20117,36867,0.781436004285676
94552,49024.60156,14454,3.39176709284627
94553,48569.80078,47065,1.03197282014236
94555,5500.799805,34143,0.161110617256832
94556,59351.19922,15229,3.89724861908201
94558,47158.60156,66830,0.705650180457878
94559,25786.40039,27184,0.948587418702178
94560,25284,42573,0.593897540694807
94561,31591,36515,0.865151307681775
94562,0,-100,-100
94563,89907.89844,17672,5.08759045043006
94564,5784.600098,18287,0.316323076393066
94565,4257,84641,0.0502947744001134
94566,59977.09766,40884,1.46700659573427
94567,0,623,0
94568,15312.40039,46016,0.33276252586057
94571,0,7911,0
94572,0,8684,0
94573,8564.399414,94,91.1106320638298
94574,17900.79883,8742,2.04767774307939
94576,0,164,0
94577,8363.200195,45560,0.183564534569798
94578,2202,38558,0.0571087712018258
94579,0,20571,0
94580,5776.600098,27152,0.212750445565704
94582,37795.19922,38537,0.980750946363235
94583,34686.60156,34859,0.995054406609484
94585,3602,28263,0.127445777164491
